WORD,N_OCCURRANCES,LENGTH,CLASS
used,2,4,-1
v,2,1,0
bye,2,3,-1
thomas,1,6,0
kinsman,1,7,0
wednesday,1,9,-1
november,1,8,-1
16th,1,4,0
2022,1,4,0
co-hosts,1,8,0
please,1,6,-1
program,1,7,-1
word,1,4,-1
bad,1,3,-1
social,1,6,-1
connotations,1,12,1
topic,1,5,-1
launched,1,8,-1
private,1,7,-1
survey,1,6,-1
anonymously,1,11,1
lousy,1,5,-1
reported,1,8,-1
worst,1,5,-1
dolores,1,7,0
umbridge,1,8,0
setting,1,7,-1
keeps,1,5,-1
getting,1,7,-1
distracted,1,10,-1
messages,1,8,-1
send,1,4,-1
crosstalk,1,9,1
function,1,8,-1
descriptions,1,12,-1
established,1,11,-1
horrible,1,8,-1
given,1,5,-1
homework,1,8,-1
announce,1,8,-1
mentioned,1,9,-1
assigned,1,8,-1
prepared,1,8,-1
evidence,1,8,-1
prove,1,5,-1
plan,1,4,-1
optional,1,8,-1
fine,1,4,-1
thank,1,5,-1
hear,1,4,-1
presentation,1,12,-1
skills,1,6,-1
grader,1,6,-1
sure,1,4,-1
sick,1,4,-1
september,1,9,-1
15th,1,4,0
looked,1,6,-1
try,1,3,-1
success,1,7,-1
past,1,4,-1
differentiated,1,14,1
door,1,4,-1
running,1,7,-1
survive,1,7,0
standing,1,8,-1
observe,1,7,-1
big,1,3,-1
bodies,1,6,0
7-May,1,3,-1
inches,1,6,0
bigger,1,6,-1
plotted,1,7,0
body,1,4,-1
intentionally,1,13,-1
simulate,1,8,1
outside,1,7,-1
gang,1,4,0
yet,1,3,-1
describe,1,8,-1
eyeballed,1,9,0
dropped,1,7,-1
relationship,1,12,0
buddies,1,7,-1
term,1,4,-1
obvious,1,7,-1
lose,1,4,-1
anybody,1,7,-1
excellent,1,9,-1
threshold,1,9,1
sign,1,4,-1
teach,1,5,-1
using,1,5,-1
intuition,1,9,1
cases,1,5,-1
crud,1,4,0
presented,1,9,-1
hint,1,4,-1
circled,1,7,-1
centered,1,8,-1
visible,1,7,-1
generally,1,9,-1
offsets,1,7,-1
shift,1,5,-1
attributes,1,10,-1
commensurate,1,12,1
directly,1,8,-1
units,1,5,-1
whatsoever,1,10,-1
aware,1,5,-1
crops,1,5,0
made,1,4,-1
seriously,1,9,-1
munged,1,6,1
pushed,1,6,-1
axes,1,4,0
differently,1,11,-1
90,1,2,0
degrees,1,7,0
axis,1,4,0
meaning,1,7,-1
redder,1,6,0
greyer,1,6,0
old,1,3,-1
grid,1,4,-1
normalized,1,10,1
graph,1,5,-1
extended,1,8,-1
thick,1,5,-1
hope,1,4,-1
scott,1,5,0
vertical,1,8,-1
emphasize,1,9,-1
caused,1,6,-1
accommodate,1,11,-1
called,1,6,-1
w,1,1,0
without,1,7,-1
assuming,1,8,-1
betcha,1,6,0
oops,1,4,-1
minute,1,6,-1
understanding,1,13,-1
pink,1,4,-1
interpreters,1,12,-1
insert,1,6,-1
sarcasm,1,7,-1
alright,1,7,-1
threw,1,5,-1
lecture,1,7,-1
pronounce,1,9,-1
daughter,1,8,-1
pause,1,5,-1
raised,1,6,-1
day,1,3,-1
gave,1,4,-1
bus,1,3,-1
downtown,1,8,-1
hey,1,3,-1
18,1,2,0
idea,1,4,-1
aeris,1,5,1
goddess,1,7,1
chaos,1,5,1
glad,1,4,-1
strong,1,6,-1
stand,1,5,-1
bother,1,6,-1
thought,1,7,-1
